sheet_name,row_no,rule_id,category,item_name,check_item,severity,error_message,fix_action
P001,基本情報,R005,基本情報,記帳者,記帳者未入力,エラー,記帳者が未入力です,記帳者を入力してください
P002,基本情報,R005,基本情報,記帳者,記帳者未入力,エラー,記帳者が未入力です,記帳者を入力してください
P003,基本情報,R005,基本情報,記帳者,記帳者未入力,エラー,記帳者が未入力です,記帳者を入力してください
